headline,date,textblob_score,vader_score,average_score,sentiment_category
"

                                Binance.US COO claims SEC lawsuit led to banks withdrawing support, strangling business                            
",07/03/2024,-0.1,0.2023,0.05115,Neutral
"

                                Digital Currency Group submits request to cancel New York AG lawsuit                            
",06/03/2024,0.06818181818181818,-0.4404,-0.18610909090909092,Neutral
"

                                Borroe Finance is in focus, SUI and Solana falls                            
",02/03/2024,0.0,0.0,0.0,Neutral
"

                                SEC overstepped bounds in Kraken lawsuit, US state attorneys say                            
",01/03/2024,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                Kraken unveils new institutional division as Chamber of Commerce steps in against SEC lawsuit                            
",28/02/2024,0.018181818181818174,-0.2263,-0.1040590909090909,Neutral
"

                                Sui and Maker fall, traders flock to Meme Moguls presale                            
",27/02/2024,0.0,0.0,0.0,Neutral
"

                                EIA voluntarily pauses Bitcoin miner survey following lawsuit over energy scrutiny                            
",26/02/2024,0.0,0.0516,0.0258,Neutral
"

                                Kraken joins crypto exchanges battling SEC lawsuit, denies wrongdoing                            
",23/02/2024,-0.1,-0.7003,-0.40015,Slightly Bearish
"

                                FTX, Alameda allegedly schemed to cash in on Tether: lawsuit                            
",19/02/2024,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                Sullivan & Cromwell targeted in lawsuit for alleged FTX collusion                            
",17/02/2024,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                Franklin Templeton files for spot Ethereum ETF, Sui and KangaMoon unveil new initiatives                            
",14/02/2024,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                Sui, Aptos, and InQubeta to lead market in upcoming rally                            
",12/02/2024,0.0,0.0,0.0,Neutral
"

                                Investors drop XRP for Sui and Rebel Satoshi                             
",10/02/2024,0.0,-0.4019,-0.20095,Slightly Bearish
"

                                New York extends lawsuit against DCG to $3b after Genesis settlement                             
",09/02/2024,0.13636363636363635,-0.1027,0.016831818181818177,Neutral
"

                                Investors set eyes on Injective, SUI, and Borroe Finance                            
",09/02/2024,0.0,0.0,0.0,Neutral
"

                                XRP and Sui likely to trail DeeStream by 2025                            
",06/02/2024,0.0,0.0,0.0,Neutral
"

                                Sui and Fantom holders exploring NuggetRush presale                            
",05/02/2024,0.0,0.0,0.0,Neutral
"

                                Artists face $9m penalty in Yuga Labs, Bored Ape copyright lawsuit                            
",04/02/2024,-0.5,-0.7184,-0.6092,Bearish
"

                                Top cryptocurrencies to watch this week: XRP, PYTH, SUI                            
",04/02/2024,0.5,0.2023,0.35115,Slightly Bullish
"

                                Genesis agrees $21m SEC settlement in Gemini Earn lawsuit                            
",01/02/2024,-0.1,-0.0258,-0.0629,Neutral
"

                                Sui investors diversifying into Ethereum Classic and Pushd                            
",01/02/2024,0.16666666666666666,0.0,0.08333333333333333,Neutral
"

                                Binance and Hamas connection alleged in major financing lawsuit                            
",01/02/2024,-0.018750000000000003,-0.2911,-0.154925,Neutral
"

                                Singapore сourt upholds DeFiance Capital lawsuit against 3AC                            
",01/02/2024,0.0,-0.2263,-0.11315,Neutral
"

                                Sui soaring despite bearish market conditions, new presale targets $4m                            
",31/01/2024,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                SEC proposes dropping Debt Box lawsuit amid threat of court sanctions                            
",31/01/2024,-0.1,-0.7783,-0.43915,Slightly Bearish
"

                                Sui defi ecosystem rises to top 10 as TVL spikes above $430m                            
",30/01/2024,0.25,0.2023,0.22615000000000002,Slightly Bullish
"

                                Banxa integrate Sui, plans for off-ramps launch in progress                            
",29/01/2024,0.0,0.4215,0.21075,Slightly Bullish
"

                                10 dapps integrate Sui’s “zkLogin” Google authentication                            
",25/01/2024,0.0,0.0,0.0,Neutral
"

                                FTX’s Alameda Research withdraws Grayscale lawsuit                            
",22/01/2024,0.0,-0.2263,-0.11315,Neutral
"

                                Analyst: Coinbase poised to win dismissal over SEC lawsuit                            
",19/01/2024,0.35000000000000003,0.5994,0.4747,Bearish
"

                                Sam Bankman-Fried’s parents seeking dismissal of FTX lawsuit                            
",17/01/2024,0.0,-0.2263,-0.11315,Neutral
"

                                Sui tops $300m in defi TVL, surpasses Bitcoin                            
",16/01/2024,0.0,0.5106,0.2553,Slightly Bullish
"

                                Genesis to surrender BitLicense, pay $8m fine in NYDFS lawsuit                            
",12/01/2024,0.4166666666666667,-0.128,0.14433333333333334,Neutral
"

                                Sui, FTT anchors today’s top cryptocurrency gainers                            
",12/01/2024,0.5,0.2023,0.35115,Slightly Bullish
"

                                DePIN and DeWi deploying on Sui after Karrier One partnership                            
",11/01/2024,0.0,0.0,0.0,Neutral
"

                                XRP bulls target $1.50; these altcoins could follow suit                            
",08/01/2024,0.0,0.0,0.0,Neutral
"

                                Investor files lawsuit against Lido DAO, claims unfair token control                            
",18/12/2023,-0.5,-0.6124,-0.5562,Bearish
"

                                Former Credit Suisse executive unveils crypto marketplace for banks                            
",14/12/2023,0.0,0.3818,0.1909,Neutral
"

                                Binance challenges SEC lawsuit by arguing DoJ settlements not applicable                            
",13/12/2023,-0.1,-0.5574,-0.3287,Slightly Bearish
"

                                Binance may have settled with DOJ, but a lawsuit with the SEC is still pending                            
",09/12/2023,-0.1,-0.3291,-0.21455000000000002,Slightly Bearish
"

                                Kraken to respond to SEC lawsuit, inspired by Ripple                            
",01/12/2023,-0.1,0.3182,0.10909999999999999,Neutral
"

                                Cristiano Ronaldo faces lawsuit over Binance promotion and unregistered securities                            
",29/11/2023,0.0,0.0772,0.0386,Neutral
"

                                Genesis set to end $620m lawsuit with Digital Currency Group                            
",29/11/2023,0.0,-0.2263,-0.11315,Neutral
"

                                Crypto analyst blasts Kraken lawsuit as SEC’s money grab, criticizes attacks on ADA                            
",22/11/2023,-0.1,-0.7351,-0.41755,Slightly Bearish
"

                                Sui’s TVL hits all-time high                            
",21/11/2023,0.16,0.0,0.08,Neutral
"

                                Apple hit with lawsuit for blocking crypto in P2P payments                            
",21/11/2023,0.0,-0.5423,-0.27115,Slightly Bearish
